"subj","distal","proximal","moral","time","vign","outcome","agent"
"R_3jSqilGL3FipwVu","1","3","1","70.912","Russia","bad","Object"
"R_e3xGwUqDSPmAt2k","5","6","5","51.583","Russia","bad","Object"
"R_835OmfsuznARoBm","3","5","4","40.504","Russia","bad","Object"
"R_3TXPR3LMM6mMNFi","7","6","6","52.798","Russia","bad","Object"
"R_eCCHaO6IoNoXqcc","4","6","4","26.564","Russia","bad","Object"
"R_298IoVHEnpjodHS","3","4","4","46.922","Russia","bad","Object"
"R_bgczkyfo290cpiA","2","5","4","59.553","Russia","bad","Object"
"R_8prpNraQI1m9kQ4","5","5","6","28.849","Russia","bad","Object"
"R_0Aiww6LdWzdeqXO","6","6","7","54.671","Russia","bad","Object"
"R_9nOrn0b742iWhBq","2","7","1","27.68","Russia","bad","Object"
"R_1XoBstDU3Womplq","4","6","4","36.434","Russia","bad","Object"
"R_9ElqhBR5fhpLUEs","6","5","5","6.918","Construction","bad","Object"
"R_9mL01GGPWL03zX6","6","6","6","48.153","Construction","bad","Object"
"R_e5kC9k0oKzVnOxC","3","3","3","76.717","Construction","bad","Object"
"R_38ZtgEgGi6doFec","6","6","6","53.149","Construction","bad","Object"
"R_bOPRQKzcoQGnZqY","6","6","6","64.672","Construction","bad","Object"
"R_etdAUKrwGrWVXkE","4","4","6","103.731","Construction","bad","Object"
"R_6Wiej8n6g0Sz628","6","5","6","32.443","Construction","bad","Object"
"R_eVPtxeOBY1AIBta","7","7","7","17.002","Construction","bad","Object"
"R_bfm9HpYP9AAiCm8","5","5","6","49.298","Construction","bad","Object"
"R_1ADKKaBFIWVwYFS","5","5","6","74.687","Construction","bad","Object"
"R_4GU38GU4iZ8VPuY","6","6","6","17.472","Construction","bad","Object"
